planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_inflated,3,1000,4,1,0.0183,8.04,0.983,0.36,0.0,0,
custom_strict,3,1000,5,1,0.0222,7.752,0.965,0.05,0.0,0,
custom_inflated,3,1000,5,1,0.0188,7.906,0.966,0.22,0.0,0,
custom_strict,3,2000,1,1,0.0346,7.776,0.968,0.05,0.0,0,
custom_inflated,3,2000,1,1,0.0275,7.872,0.962,0.25,0.0,0,
custom_strict,3,2000,2,1,0.0355,7.758,0.966,0.07,0.0,0,
custom_inflated,3,2000,2,1,0.0276,7.905,0.966,0.25,0.0,0,
custom_strict,3,2000,3,1,0.0344,7.733,0.963,0.05,0.0,0,
custom_inflated,3,2000,3,1,0.0275,7.912,0.967,0.25,0.0,0,
custom_strict,3,2000,4,1,0.0349,8.045,1.001,0.32,0.0,0,
custom_inflated,3,2000,4,1,0.0274,7.891,0.965,0.22,0.0,0,
custom_strict,3,2000,5,1,0.0339,7.778,0.968,0.05,0.0,0,
custom_inflated,3,2000,5,1,0.0271,7.926,0.969,0.27,0.0,0,
custom_strict,3,4000,1,1,0.0528,7.83,0.975,0.07,0.0,0,
custom_inflated,3,4000,1,1,0.0438,7.904,0.966,0.22,0.0,0,
custom_strict,3,4000,2,1,0.0559,7.759,0.966,0.07,0.0,0,
custom_inflated,3,4000,2,1,0.0433,7.895,0.965,0.22,0.0,0,
custom_strict,3,4000,3,1,0.0567,7.831,0.975,0.05,0.0,0,
custom_inflated,3,4000,3,1,0.0446,7.892,0.965,0.25,0.0,0,
custom_strict,3,4000,4,1,0.06,7.783,0.969,0.1,0.0,0,
custom_inflated,3,4000,4,1,0.0435,7.886,0.964,0.22,0.0,0,
custom_strict,3,4000,5,1,0.053,7.747,0.964,0.05,0.0,0,
custom_inflated,3,4000,5,1,0.0428,7.873,0.963,0.22,0.0,0,
repo_ompl,3,500,1,1,0.067,7.571,0.942,0.0,0.568,4,
repo_ompl,3,500,2,1,0.0265,7.631,0.95,0.0,0.119,9,
repo_ompl,3,500,3,1,0.0519,7.66,0.953,0.0,0.514,7,
repo_ompl,3,2000,1,1,0.0867,7.576,0.943,0.0,0.564,4,
repo_ompl,3,2000,2,1,0.07,7.967,0.992,0.0,0.729,6,
